Date,Open,High,Low,Close,Volume,Returns,Anomaly
2006-10-19,,,,,,,
2006-10-20,,,,,,,
2006-10-21,125.8,127.5,123.1,123.95,90310.0,-0.009192645883293271,1.0
2006-10-23,123.4,126.45,117.75,118.95,218970.0,-0.040338846308995535,1.0
2006-10-26,121.0,122.5,116.25,117.2,279272.0,-0.014712063892391769,1.0
2006-10-27,117.1,118.7,107.75,108.55,225940.0,-0.07380546075085326,1.0
2006-10-30,108.6,111.1,102.0,102.6,227783.0,-0.05481345002303084,1.0
2006-10-31,104.65,104.65,98.0,98.5,206259.0,-0.039961013645224086,1.0
2006-11-01,100.4,107.9,97.5,104.15,520801.0,0.05736040609137061,1.0
2006-11-02,105.75,107.9,101.5,102.55,185416.0,-0.015362457993278955,1.0
2006-11-03,103.0,103.0,99.3,99.9,87501.0,-0.025841053144807336,1.0
2006-11-06,97.3,102.15,97.3,99.35,59943.0,-0.005505505505505659,1.0
2006-11-07,101.0,104.4,97.3,98.1,239498.0,-0.01258178158027179,1.0
2006-11-08,101.6,101.6,96.1,96.5,63614.0,-0.01630988786952081,1.0
2006-11-09,97.8,98.2,95.5,96.25,61297.0,-0.002590673575129543,1.0
2006-11-10,96.8,96.8,93.0,93.65,55439.0,-0.027012987012986933,1.0
2006-11-13,94.0,94.0,90.05,90.55,55079.0,-0.03310197544046989,1.0
2006-11-14,91.0,91.8,88.0,88.35,64223.0,-0.024295969077857582,1.0
2006-11-15,88.4,92.5,88.15,89.4,120048.0,0.011884550084889867,1.0
2006-11-16,91.9,93.7,90.0,90.6,109928.0,0.01342281879194629,1.0
2006-11-17,91.0,96.5,90.2,94.2,170229.0,0.03973509933774855,1.0
2006-11-20,95.55,100.475,94.35,97.17500000000001,232847.5,0.02618706433014828,1.0
2006-11-21,100.1,104.45,98.5,100.15,295466.0,0.012639029322548012,1.0
2006-11-22,103.05,105.92500000000001,100.3,101.7,244819.5,-0.003647262747363822,1.0
2006-11-23,106.0,107.4,102.1,103.25,194173.0,-0.019933554817275656,1.0
2006-11-24,105.0,108.0,102.0,105.1,169223.0,0.017917675544794065,1.0
2006-11-27,110.33333333333333,114.96666666666667,108.26666666666667,111.14999999999999,295437.6666666667,0.022549274976004712,1.0
2006-11-28,115.66666666666667,121.93333333333334,114.53333333333333,117.2,421652.3333333334,0.02718087440721536,1.0
2006-11-29,121.0,128.9,120.8,123.25,547867.0,0.031812473838426,1.0
2006-11-30,123.5,125.0,118.1,120.0,163244.0,-0.026369168356997985,1.0
2006-12-01,120.15,126.75,119.1,124.95,303117.0,0.04125000000000001,1.0
2006-12-04,124.75,135.4,122.2,129.4,504845.0,0.03561424569827931,1.0
2006-12-05,128.0,135.7,125.3,128.45,547387.0,-0.007341576506955327,1.0
2006-12-06,129.7,132.05,125.5,126.6,243864.0,-0.01440249124172821,1.0
2006-12-07,130.975,132.15,124.75,125.9,249424.0,-0.030611980299204367,1.0
2006-12-08,132.25,132.25,124.0,125.2,254984.0,-0.04682146935668052,1.0
2006-12-11,125.0,125.0,112.0,115.25,150501.0,-0.07947284345047922,1.0
2006-12-12,116.55,118.9,100.05,105.45,185729.0,-0.08503253796095445,1.0
2006-12-13,106.0,109.5,100.05,108.05,162647.0,0.024656235182551,1.0
2006-12-14,109.5,113.95,108.55,112.4,113041.0,0.04025913928736702,1.0
2006-12-15,113.05,117.0,111.1,111.85,148088.0,-0.0048932384341637825,1.0
2006-12-18,113.0,113.85,109.1,111.05,59447.0,-0.007152436298614173,1.0
2006-12-19,111.0,118.5,108.0,109.9,181594.0,-0.010355695632597861,1.0
2006-12-20,113.75,114.4,110.0,111.95,104062.0,0.018653321201091977,1.0
2006-12-21,112.0,112.0,109.0,109.85,45531.0,-0.01875837427422966,1.0
2006-12-22,109.0,111.5,106.7,107.4,61081.0,-0.022303140646335762,1.0
2006-12-26,102.25,110.0,102.25,108.55,19745.0,0.010707635009310934,1.0
2006-12-27,109.9,115.3,109.0,113.55,64966.0,0.04606172270842923,1.0
2006-12-28,110.0,116.2,110.0,112.75,40672.0,-0.007045354469396692,1.0
2006-12-29,112.1,115.9,110.5,112.4,42579.0,-0.0031042128603103736,1.0
2007-01-02,107.1,120.95,107.1,118.55,121763.0,0.054715302491103124,1.0
2007-01-03,119.8,125.0,119.0,119.45,81672.0,0.00759173344580355,1.0
2007-01-04,124.5,125.0,119.1,119.9,71784.0,0.0037672666387609244,1.0
2007-01-05,118.55,130.45,118.55,125.75,218250.0,0.04879065888240186,1.0
2007-01-08,123.0,126.4,121.05,123.1,60898.0,-0.021073558648111335,1.0
2007-01-09,124.1,128.25,121.95,122.6,124513.0,-0.004061738424045447,1.0
2007-01-10,122.5,127.85,121.55,124.9,81880.0,0.01876019575856458,1.0
2007-01-11,126.0,132.8,125.95,131.2,247700.0,0.05044035228182531,1.0
2007-01-12,132.7,135.4,125.6,126.65,113928.0,-0.034679878048780366,1.0
2007-01-15,128.1,130.5,127.1,129.45,77896.0,0.022108172127911496,1.0
2007-01-16,132.0,132.0,128.05,128.35,36640.0,-0.008497489378138212,1.0
2007-01-17,129.85,129.85,124.1,127.55,39263.0,-0.006232956758862485,1.0
2007-01-18,127.0,127.5,123.0,124.65,27515.0,-0.02273618188945503,1.0
2007-01-19,126.0,126.0,122.0,124.9,13946.0,0.0020056157240273542,1.0
